DATE,TIME(EST),OPPONENT,ARENA,HOME
10-30-2013,7:00 PM,Miami Heat,Wells Fargo Center,True
11-1-2013,7:00 PM,Washington Wizards,Verizon Center,False
11-2-2013,7:30 PM,Chicago Bulls,Wells Fargo Center,True
11-4-2013,7:00 PM,Golden State Warriors,Wells Fargo Center,True
11-6-2013,7:00 PM,Washington Wizards,Wells Fargo Center,True
11-8-2013,7:00 PM,Cleveland Cavaliers,Wells Fargo Center,True
11-9-2013,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
11-11-2013,7:00 PM,San-Antonio Spurs,Wells Fargo Center,True
11-13-2013,7:00 PM,Houston Rockets,Wells Fargo Center,True
11-15-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
11-16-2013,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
11-18-2013,8:30 PM,Dallas Mavericks,American Airlines Center,False
11-20-2013,7:00 PM,Toronto Raptors,Wells Fargo Center,True
11-22-2013,7:00 PM,Milwaukee Bucks,Wells Fargo Center,True
11-23-2013,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
11-27-2013,7:00 PM,Orlando Magic,Amway Center,False
11-29-2013,8:00 PM,New Orleans Pelicans,Wells Fargo Center,True
12-1-2013,3:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
12-3-2013,7:00 PM,Orlando Magic,Wells Fargo Center,True
12-6-2013,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
12-7-2013,7:00 PM,Denver Nuggets,Wells Fargo Center,True
12-9-2013,7:00 PM,Los Angeles Clippers,Wells Fargo Center,True
12-11-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
12-13-2013,7:00 PM,Toronto Raptors,Air Canada Centre,False
12-14-2013,8:00 PM,Portland Trail Blazers,Wells Fargo Center,True
12-16-2013,7:30 PM,Brooklyn Nets,Barclays Center,False
12-20-2013,7:00 PM,Brooklyn Nets,Wells Fargo Center,True
12-21-2013,8:30 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
12-28-2013,9:00 PM,Phoenix Suns,US Airways Center,False
12-29-2013,9:30 PM,Los Angeles Lakers,Staples Center,False
1-1-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
1-2-2014,10:00 PM,Sacramento Kings,Sleep Train Arena,False
1-4-2014,10:00 PM,Portland Trail Blazers,Rose Garden,False
1-6-2014,7:00 PM,Minnesota Timberwolves,Wells Fargo Center,True
1-7-2014,7:00 PM,Cleveland Cavaliers,Quicken Loans Arena,False
1-10-2014,7:00 PM,Detroit Pistons,Wells Fargo Center,True
1-11-2014,7:30 PM,New York Knicks,Wells Fargo Center,True
1-15-2014,7:00 PM,Charlotte Bobcats,Wells Fargo Center,True
1-17-2014,7:00 PM,Miami Heat,Wells Fargo Center,True
1-18-2014,8:00 PM,Chicago Bulls,United Center,False
1-20-2014,2:00 PM,Washington Wizards,Verizon Center,False
1-22-2014,7:30 PM,New York Knicks,Madison Square Garden,False
1-24-2014,7:00 PM,Toronto Raptors,Wells Fargo Center,True
1-25-2014,7:30 PM,Oklahoma City Thunder,Wells Fargo Center,True
1-27-2014,7:00 PM,Phoenix Suns,Wells Fargo Center,True
1-29-2014,7:30 PM,Boston Celtics,TD Garden,False
1-31-2014,7:30 PM,Atlanta Hawks,Wells Fargo Center,True
2-1-2014,7:30 PM,Detroit Pistons,The Palace of Auburn Hills,False
2-3-2014,7:30 PM,Brooklyn Nets,Barclays Center,False
2-5-2014,7:00 PM,Boston Celtics,Wells Fargo Center,True
2-7-2014,7:00 PM,Los Angeles Lakers,Wells Fargo Center,True
2-9-2014,9:30 PM,Los Angeles Clippers,Staples Center,False
2-10-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
2-12-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
2-18-2014,7:00 PM,Cleveland Cavaliers,Wells Fargo Center,True
2-21-2014,7:00 PM,Dallas Mavericks,Wells Fargo Center,True
2-24-2014,7:00 PM,Milwaukee Bucks,Wells Fargo Center,True
2-26-2014,7:00 PM,Orlando Magic,Wells Fargo Center,True
3-1-2014,7:30 PM,Washington Wizards,Wells Fargo Center,True
3-2-2014,6:00 PM,Orlando Magic,Amway Center,False
3-4-2014,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-8-2014,7:30 PM,Utah Jazz,Wells Fargo Center,True
3-10-2014,7:30 PM,New York Knicks,Madison Square Garden,False
3-12-2014,7:00 PM,Sacramento Kings,Wells Fargo Center,True
3-14-2014,7:00 PM,Indiana Pacers,Wells Fargo Center,True
3-15-2014,7:30 PM,Memphis Grizzlies,Wells Fargo Center,True
3-17-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
3-19-2014,7:00 PM,Chicago Bulls,Wells Fargo Center,True
3-21-2014,7:00 PM,New York Knicks,Wells Fargo Center,True
3-22-2014,8:00 PM,Chicago Bulls,United Center,False
3-24-2014,8:30 PM,San-Antonio Spurs,AT&T Center,False
3-27-2014,8:00 PM,Houston Rockets,Toyota Center,False
3-29-2014,7:30 PM,Detroit Pistons,Wells Fargo Center,True
3-31-2014,7:30 PM,Atlanta Hawks,Philips Arena,False
4-2-2014,7:00 PM,Charlotte Bobcats,Wells Fargo Center,True
4-4-2014,7:30 PM,Boston Celtics,TD Garden,False
4-5-2014,7:30 PM,Brooklyn Nets,Wells Fargo Center,True
4-9-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
4-11-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
4-12-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
4-14-2014,7:00 PM,Boston Celtics,Wells Fargo Center,True
4-16-2014,8:00 PM,Miami Heat,AmericanAirlines Arena,False
